TaxID	Tax	TaxRate	CountryCode
162	Simple tax	0,005	NU 
163	Simple tax	0,005	NZ 
164	Simple tax	0,005	OM 
165	Simple tax	0,005	PA 
166	Simple tax	0,005	PE 
167	Simple tax	0,005	PF 
168	Simple tax	0,005	PG 
169	Simple tax	0,005	PH 
170	Simple tax	0,005	PK 
171	Simple tax	0,005	PL 
172	Simple tax	0,005	PM 
173	Simple tax	0,005	PN 
174	Simple tax	0,005	PR 
175	Simple tax	0,005	PS 
176	Simple tax	0,005	PT 
177	Simple tax	0,005	PW 
178	Simple tax	0,005	PY 
179	Simple tax	0,005	QA 
180	Simple tax	0,005	RE 
181	Simple tax	0,005	RO 
182	Simple tax	0,005	RU 
183	Simple tax	0,005	RW 
184	Simple tax	0,005	SA 
185	Simple tax	0,005	SB 
186	Simple tax	0,005	SC 
187	Simple tax	0,005	SD 
188	Simple tax	0,005	SE 
189	Simple tax	0,005	SG 
190	Simple tax	0,005	SH 
191	Simple tax	0,005	SI 
192	Simple tax	0,005	SJ 
193	Simple tax	0,005	SK 
194	Simple tax	0,005	SL 
195	Simple tax	0,005	SM 
196	Simple tax	0,005	SN 
197	Simple tax	0,005	SO 
198	Simple tax	0,005	SR 
199	Simple tax	0,005	ST 
200	Simple tax	0,005	SV 
201	Simple tax	0,005	SY 
202	Simple tax	0,005	SZ 
203	Simple tax	0,005	TC 
204	Simple tax	0,005	TD 
205	Simple tax	0,005	TF 
206	Simple tax	0,005	TG 
207	Simple tax	0,005	TH 
208	Simple tax	0,005	TJ 
209	Simple tax	0,005	TK 
210	Simple tax	0,005	TL 
211	Simple tax	0,005	TM 
212	Simple tax	0,005	TN 
213	Simple tax	0,005	TO 
214	Simple tax	0,005	TR 
215	Simple tax	0,005	TT 
216	Simple tax	0,005	TV 
217	Simple tax	0,005	TW 
218	Simple tax	0,005	TZ 
219	Simple tax	0,005	UA 
220	Simple tax	0,005	UG 
221	Simple tax	0,005	UM 
222	Simple tax	0,005	US 
223	Simple tax	0,005	UY 
224	Simple tax	0,005	UZ 
225	Simple tax	0,005	VA 
226	Simple tax	0,005	VC 
227	Simple tax	0,005	VE 
228	Simple tax	0,005	VG 
229	Simple tax	0,005	VI 
230	Simple tax	0,005	VN 
231	Simple tax	0,005	VU 
232	Simple tax	0,005	WF 
233	Simple tax	0,005	WS 
234	Simple tax	0,005	YE 
235	Simple tax	0,005	YT 
236	Simple tax	0,005	ZA 
237	Simple tax	0,005	ZM 
238	Simple tax	0,005	ZW 
