SportArenaID	AmountOfSits	CityID	ArenaName
300	23400	300	Heath city Arena
301	19600	301	Kingsport city Arena
302	19900	302	San Ysidro city Arena
303	18500	303	Billericay city Arena
304	9700	304	Zeeland city Arena
305	21400	305	Corvallis city Arena
306	19600	306	Burien city Arena
307	13700	307	Etobicoke city Arena
308	15300	308	La Marque city Arena
309	23000	309	West Chicago city Arena
310	20100	310	North Bend city Arena
311	18200	311	Las Vegas city Arena
312	16800	312	Lebanon city Arena
313	18200	313	El Cajon city Arena
314	12100	314	Lancaster city Arena
315	21800	315	Gateshead city Arena
316	11300	316	Tucson city Arena
317	15900	317	Bonn city Arena
318	21500	318	Woodbury city Arena
319	11300	319	Colma city Arena
320	19600	320	Reno city Arena
321	13700	321	Index city Arena
322	14100	322	Carnation city Arena
323	18700	323	Caloundra city Arena
324	17500	324	Van Nuys city Arena
325	19700	325	Mühlheim city Arena
326	17200	326	Malabar city Arena
327	20100	327	Westport city Arena
328	22600	328	Warrnambool city Arena
329	23300	329	Stoke-on-Trent city Arena
330	11400	330	Vacaville city Arena
331	9500	331	Washougal city Arena
332	21200	332	Scottsdale city Arena
333	11100	333	Redmond city Arena
334	23500	334	Bothell city Arena
335	18100	335	Ville De'anjou city Arena
336	12600	336	Hobart city Arena
337	21300	337	Pontiac city Arena
338	20200	338	Barrie city Arena
339	15500	339	Hannover city Arena
340	15400	340	Monroe city Arena
341	16900	341	Plaistow city Arena
342	21600	342	Sooke city Arena
343	16900	343	Paris La Defense city Arena
344	15800	344	City Of Commerce city Arena
345	19900	345	Destin city Arena
346	16900	346	Reading city Arena
347	22000	347	Essen city Arena
348	15300	348	Beaverton city Arena
349	20000	349	San Bruno city Arena
350	14100	350	North Randall city Arena
351	9900	351	Melton city Arena
352	17000	352	Offenbach city Arena
353	11200	353	Joliet city Arena
354	20000	354	Chantilly city Arena
355	21300	355	Tuscola city Arena
356	10000	356	La Mesa city Arena
357	15900	357	Nevada city Arena
358	21600	358	Euclid city Arena
359	22000	359	Cerritos city Arena
360	23000	360	Greeley city Arena
361	22800	361	Mentor city Arena
362	9600	362	Riverton city Arena
363	12200	363	Anacortes city Arena
364	20400	364	Bury city Arena
365	21700	365	College Station city Arena
366	23100	366	Berks city Arena
367	12100	367	Eureka city Arena
368	11400	368	Birmingham city Arena
369	16000	369	Metz city Arena
370	21800	370	Ascheim city Arena
371	9600	371	Lake Elsinore city Arena
372	18500	372	Sherman Oaks city Arena
373	9600	373	Redwood City city Arena
374	14500	374	Birmingham city Arena
375	21100	375	Goulburn city Arena
376	17000	376	Cheektowaga city Arena
377	23200	377	Roissy en Brie city Arena
378	12200	378	Lavender Bay city Arena
379	9600	379	Sandy city Arena
380	9200	380	Killeen city Arena
381	15400	381	Hollywood city Arena
382	21200	382	Barstow city Arena
383	18200	383	Verrieres Le Buisson city Arena
384	12300	384	W. Linn city Arena
385	18800	385	Royal Oak city Arena
386	15200	386	Colomiers city Arena
387	14100	387	North Miami Beach city Arena
388	9700	388	Gilroy city Arena
389	22600	389	Rocky Mount city Arena
390	13800	390	Holland city Arena
391	21500	391	Billings city Arena
392	18300	392	Dallas city Arena
393	15300	393	Culver City city Arena
394	19700	394	Visalia city Arena
395	21100	395	La Grange city Arena
396	19000	396	Bracknell city Arena
397	13600	397	North Sydney city Arena
398	17500	398	Imperial Beach city Arena
399	12800	399	Nepean city Arena
400	21500	400	Gold Bar city Arena
401	15500	401	New Castle city Arena
402	9400	402	East Haven city Arena
403	14400	403	Bottrop city Arena
404	14000	404	Marysville city Arena
405	21900	405	Chula Vista city Arena
406	19600	406	Atlanta city Arena
407	15400	407	Muehlheim city Arena
408	18400	408	Lieusaint city Arena
409	13000	409	Simi Valley city Arena
410	14100	410	Chatou city Arena
411	21500	411	New York city Arena
412	13700	412	Port Hammond city Arena
413	14500	413	Warrington city Arena
414	17300	414	Silverwater city Arena
415	22900	415	Vista city Arena
416	10800	416	Lakewood city Arena
417	17400	417	Austell city Arena
418	18200	418	York city Arena
419	12200	419	Concord city Arena
420	13900	420	Troutdale city Arena
421	10900	421	Stafford city Arena
422	16000	422	Renton city Arena
423	12500	423	Milwaukee city Arena
424	23100	424	Houston city Arena
425	10600	425	Valley Stream city Arena
426	12500	426	Darmstadt city Arena
427	9300	427	Peoria city Arena
428	14100	428	Croix city Arena
429	11100	429	Union Gap city Arena
430	20500	430	Woodburn city Arena
431	21500	431	Tooele city Arena
432	9100	432	Hanford city Arena
433	15100	433	Kassel city Arena
434	21900	434	Bellingham city Arena
435	11000	435	Poing city Arena
436	9600	436	Surrey city Arena
437	14300	437	Albany city Arena
438	15100	438	Cergy city Arena
439	12600	439	North Sioux City city Arena
440	22000	440	München city Arena
441	20300	441	Saint Germain en Laye city Arena
442	9500	442	Clay city Arena
443	9600	443	Hof city Arena
444	14200	444	Calgary city Arena
445	20400	445	Canoga Park city Arena
446	18200	446	Sandpoint city Arena
447	17400	447	Maryville city Arena
448	11500	448	Orlando city Arena
449	14500	449	Miami city Arena
450	9400	450	Perth city Arena
451	14100	451	Humble city Arena
452	23000	452	Colombes city Arena
453	15200	453	Austin city Arena
454	11200	454	San Ramon city Arena
455	18400	455	Saint Ouen city Arena
456	12600	456	Aurora city Arena
457	9200	457	Haney city Arena
458	15700	458	Kanata city Arena
459	21500	459	Winnipeg city Arena
460	21300	460	Spokane city Arena
461	17000	461	Madison Heights city Arena
462	12300	462	Braunschweig city Arena
463	19600	463	Stuttgart city Arena
464	9300	464	Watford city Arena
465	15700	465	Rhodes city Arena
466	21500	466	Westminster city Arena
467	18900	467	Saarlouis city Arena
468	19600	468	Duesseldorf city Arena
469	21100	469	Laredo city Arena
470	10700	470	Coffs Harbour city Arena
471	9200	471	Edmonton city Arena
472	13600	472	Milford city Arena
473	11100	473	Frankfurt am Main city Arena
474	17400	474	Leesburg city Arena
475	18600	475	San Diego city Arena
476	21900	476	Bluffton city Arena
477	9300	477	Neunkirchen city Arena
478	20100	478	La Jolla city Arena
479	9800	479	Bremerton city Arena
480	9800	480	Detroit city Arena
481	12600	481	Paderborn city Arena
482	11200	482	Logansport city Arena
483	23300	483	West Covina city Arena
484	14500	484	Florence city Arena
485	17100	485	High Wycombe city Arena
486	18400	486	Torrance city Arena
487	11100	487	Dorval city Arena
488	11300	488	Salt Lake City city Arena
489	15200	489	Pigeon Forge city Arena
490	21400	490	Redlands city Arena
491	16900	491	Newport Beach city Arena
492	14300	492	Langford city Arena
493	11500	493	Oxford city Arena
494	9300	494	Walnut Creek city Arena
495	16000	495	Klamath Falls city Arena
496	11000	496	Raleigh city Arena
497	14500	497	Parker city Arena
498	22000	498	Mississauga city Arena
499	17500	499	Sparks city Arena
500	9100	500	Fontana city Arena
501	10000	501	Smithfield city Arena
502	15100	502	Ballard city Arena
503	14300	503	Westminster city Arena
504	18400	504	Indianapolis city Arena
505	20200	505	Trabuco Canyon city Arena
506	16000	506	Boise city Arena
507	22900	507	East Brisbane city Arena
508	15300	508	Morangis city Arena
509	23200	509	Weston city Arena
510	22800	510	Leipzig city Arena
511	10800	511	Issaquah city Arena
512	21800	512	Berlin city Arena
513	21500	513	Walla Walla city Arena
514	21700	514	Cedar Park city Arena
515	14100	515	Runcorn city Arena
516	19800	516	Ottawa city Arena
517	15400	517	Bordeaux city Arena
518	12800	518	Leeds city Arena
519	14400	519	Endicott city Arena
520	10000	520	New Hartford city Arena
521	23100	521	Kiel city Arena
522	19800	522	Altamonte Springs city Arena
523	11200	523	Les Ulis city Arena
524	13900	524	Shawnee city Arena
525	18800	525	Baltimore city Arena
526	12600	526	Bountiful city Arena
527	15800	527	Alpine city Arena
528	17000	528	Campbellsville city Arena
529	13800	529	Chandler city Arena
530	15800	530	Fernley city Arena
531	22600	531	Tilton city Arena
532	21500	532	Newark city Arena
533	19800	533	Springfield city Arena
534	9500	534	Union City city Arena
535	16700	535	Arlington city Arena
536	19600	536	Novato city Arena
537	22000	537	Bad Soden city Arena
538	12700	538	Oxon city Arena
539	17000	539	Alexandria city Arena
540	13000	540	Carrollton city Arena
541	21300	541	Milton Keynes city Arena
542	12900	542	Oxnard city Arena
543	21300	543	Newton city Arena
544	18400	544	New Haven city Arena
545	23300	545	Montreal city Arena
546	15700	546	Wenatchee city Arena
547	9400	547	Waterloo city Arena
548	13800	548	Woodland Hills city Arena
549	23300	549	Randolph city Arena
550	10900	550	West Sussex city Arena
551	10000	551	Villeneuve-d'Ascq city Arena
552	11400	552	Langley city Arena
553	9100	553	Mcdonough city Arena
554	21700	554	Lewiston city Arena
555	12600	555	Olympia city Arena
556	21400	556	Pleasanton city Arena
557	9900	557	Quebec city Arena
558	11300	558	Cedar City city Arena
559	21800	559	Auburn city Arena
560	22600	560	Long Beach city Arena
561	12400	561	Hull city Arena
562	12700	562	Surprise city Arena
563	11100	563	Lake George city Arena
564	9400	564	Waterbury city Arena
565	11100	565	Tacoma city Arena
566	9900	566	Byron city Arena
567	10900	567	Gaffney city Arena
568	21600	568	Howell city Arena
569	22600	569	Vero Beach city Arena
570	12300	570	Victoria city Arena
571	9100	571	Grevenbroich city Arena
572	18900	572	Dunkerque city Arena
573	16700	573	Wollongong city Arena
574	11000	574	Boulogne-Billancourt city Arena
575	11200	575	Orly city Arena
576	18800	576	Salem city Arena
577	23400	577	Brampton city Arena
578	23000	578	Daly City city Arena
579	12400	579	Great Falls city Arena
