City;StateProvinceID;CountryRegionCode;Name
Boulogne-Billancourt;178;FR;France
Paris;161;FR;France
Roubaix;145;FR;France
Haney;7;CA;Canada
Paris;161;FR;France
Roubaix;145;FR;France
Berkeley;9;US;United States
Hervey Bay;64;AU;Australia
Lebanon;58;US;United States
Paris;161;FR;France
Colma;9;US;United States
Cambridge;14;GB;United Kingdom
Mill Valley;9;US;United States
Corvallis;58;US;United States
Milsons Point;50;AU;Australia
Langley;7;CA;Canada
London;14;GB;United Kingdom
Colombes;178;FR;France
Saint-Denis;179;FR;France
Bellflower;9;US;United States
Torrance;9;US;United States
El Cajon;9;US;United States
Burbank;9;US;United States
Colomiers;117;FR;France
Coffs Harbour;50;AU;Australia
Puyallup;79;US;United States
Redmond;79;US;United States
Peterborough;14;GB;United Kingdom
Roissy en Brie;163;FR;France
Colombes;178;FR;France
Versailles;164;FR;France
Roubaix;145;FR;France
Paris;161;FR;France
Paris;161;FR;France
Baltimore;32;US;United States
Saint Germain en Laye;164;FR;France
Orleans;131;FR;France
Bellingham;79;US;United States
Berkeley;9;US;United States
N. Vancouver;7;CA;Canada
Pantin;179;FR;France
Port Macquarie;50;AU;Australia
Yakima;79;US;United States
Bremerton;79;US;United States
Gateshead;14;GB;United Kingdom
Metchosin;7;CA;Canada
Burbank;9;US;United States
Rhodes;50;AU;Australia
Woodland Hills;9;US;United States
Coffs Harbour;50;AU;Australia
Berkeley;9;US;United States
Sedro Woolley;79;US;United States
Lake Oswego;58;US;United States
Burien;79;US;United States
London;14;GB;United Kingdom
Marysville;79;US;United States
W. Linn;58;US;United States
Milton Keynes;14;GB;United Kingdom
Santa Monica;9;US;United States
Les Ulis;177;FR;France
Bremerton;79;US;United States
Matraville;50;AU;Australia
Santa Cruz;9;US;United States
Croix;145;FR;France
Versailles;164;FR;France
Calgary;1;CA;Canada
Lebanon;58;US;United States
Townsville;64;AU;Australia
Burbank;9;US;United States
Oxford;14;GB;United Kingdom
Colma;9;US;United States
Leeds;14;GB;United Kingdom
Kirkland;79;US;United States
Oregon City;58;US;United States
Townsville;64;AU;Australia
Saint-Denis;179;FR;France
Lynnwood;79;US;United States
South Melbourne;77;AU;Australia
Chula Vista;9;US;United States
Oregon City;58;US;United States
Issaquah;79;US;United States
Warrnambool;77;AU;Australia
Burlingame;9;US;United States
Burien;79;US;United States
Olympia;79;US;United States
Paris La Defense;178;FR;France
Lille;145;FR;France
Bury;14;GB;United Kingdom
North Ryde;50;AU;Australia
Stoke-on-Trent;14;GB;United Kingdom
Colombes;178;FR;France
San Diego;9;US;United States
Paris;161;FR;France
Port Orchard;79;US;United States
Stoke-on-Trent;14;GB;United Kingdom
Port Macquarie;50;AU;Australia
West Covina;9;US;United States
Drancy;179;FR;France
Concord;9;US;United States
Springwood;50;AU;Australia
Portland;58;US;United States
Newton;7;CA;Canada
Silverwater;50;AU;Australia
London;14;GB;United Kingdom
Woodland Hills;9;US;United States
Newcastle;50;AU;Australia
Cincinnati;55;US;United States
Torrance;9;US;United States
Townsville;64;AU;Australia
Shawnee;7;CA;Canada
Colma;9;US;United States
North Sydney;50;AU;Australia
Oak Bay;7;CA;Canada
Haney;7;CA;Canada
Hervey Bay;64;AU;Australia
Walla Walla;79;US;United States
Wollongong;50;AU;Australia
Port Macquarie;50;AU;Australia
Bellingham;79;US;United States
Oakland;9;US;United States
Lebanon;58;US;United States
London;14;GB;United Kingdom
Lane Cove;50;AU;Australia
Langley;7;CA;Canada
Seattle;79;US;United States
El Cajon;9;US;United States
Warrnambool;77;AU;Australia
Burbank;9;US;United States
York;14;GB;United Kingdom
London;14;GB;United Kingdom
Paris;161;FR;France
Saint Germain en Laye;164;FR;France
Lieusaint;163;FR;France
Bendigo;77;AU;Australia
Westminster;7;CA;Canada
Bellingham;79;US;United States
Woodburn;58;US;United States
Port Hammond;7;CA;Canada
W. York;14;GB;United Kingdom
Glendale;9;US;United States
Burbank;9;US;United States
South Melbourne;77;AU;Australia
Coronado;9;US;United States
Edmonds;79;US;United States
Bracknell;14;GB;United Kingdom
Kirkby;14;GB;United Kingdom
Bremerton;79;US;United States
Milwaukie;58;US;United States
Lakewood;9;US;United States
Oxford;14;GB;United Kingdom
Warrington;14;GB;United Kingdom
Langley;7;CA;Canada
South Melbourne;77;AU;Australia
Spring Valley;9;US;United States
Lebanon;58;US;United States
Seattle;79;US;United States
Darlinghurst;50;AU;Australia
Woodland Hills;9;US;United States
Maidenhead;14;GB;United Kingdom
Santa Cruz;9;US;United States
Burien;79;US;United States
Wollongong;50;AU;Australia
La Jolla;9;US;United States
Daly City;9;US;United States
North Ryde;50;AU;Australia
Puyallup;79;US;United States
Hobart;71;AU;Australia
Paris;161;FR;France
Glendale;9;US;United States
Chatou;164;FR;France
Chula Vista;9;US;United States
Port Macquarie;50;AU;Australia
Lake Oswego;58;US;United States
Oxford;14;GB;United Kingdom
Bellingham;79;US;United States
Long Beach;9;US;United States
Downey;9;US;United States
Burbank;9;US;United States
Imperial Beach;9;US;United States
Beaverton;58;US;United States
Bellevue;79;US;United States
Corvallis;58;US;United States
Metchosin;7;CA;Canada
Rockhampton;64;AU;Australia
Saint Ouen;103;FR;France
Cranbourne;77;AU;Australia
Glendale;9;US;United States
Reading;14;GB;United Kingdom
Runcorn;14;GB;United Kingdom
Los Angeles;9;US;United States
Chantilly;75;US;United States
Chula Vista;9;US;United States
Oxford;14;GB;United Kingdom
London;14;GB;United Kingdom
Spokane;79;US;United States
Los Angeles;9;US;United States
National City;9;US;United States
Berks;14;GB;United Kingdom
Portland;58;US;United States
Olympia;79;US;United States
Novato;9;US;United States
Goulburn;50;AU;Australia
Bury;14;GB;United Kingdom
Hawthorne;64;AU;Australia
Hervey Bay;64;AU;Australia
London;14;GB;United Kingdom
Les Ulis;177;FR;France
Vancouver;7;CA;Canada
Paris;161;FR;France
Lemon Grove;9;US;United States
Port Hammond;7;CA;Canada
Oakland;9;US;United States
San Gabriel;9;US;United States
San Diego;9;US;United States
Beaverton;58;US;United States
Oregon City;58;US;United States
Runcorn;14;GB;United Kingdom
Seaford;77;AU;Australia
Kirkland;79;US;United States
London;14;GB;United Kingdom
Peterborough;14;GB;United Kingdom
Spokane;79;US;United States
Langley;7;CA;Canada
London;14;GB;United Kingdom
Redmond;79;US;United States
Les Ulis;177;FR;France
Darlinghurst;50;AU;Australia
Mill Valley;9;US;United States
Colombes;178;FR;France
Lieusaint;163;FR;France
Saint Ouen;103;FR;France
Paris;161;FR;France
Bobigny;179;FR;France
Morangis;177;FR;France
Paris;161;FR;France
Paris La Defense;178;FR;France
Roubaix;145;FR;France
Saint-Denis;179;FR;France
Verrieres Le Buisson;177;FR;France
Saint Germain en Laye;164;FR;France
Paris;161;FR;France
Bobigny;179;FR;France
Chatou;164;FR;France
Courbevoie;178;FR;France
Lille;145;FR;France
Pantin;179;FR;France
Paris;161;FR;France
Paris;161;FR;France
Roissy en Brie;163;FR;France
Saint Ouen;103;FR;France
Boulogne-Billancourt;178;FR;France
Orly;180;FR;France
Paris;161;FR;France
Esher-Molesey;14;GB;United Kingdom
Boulogne-Billancourt;178;FR;France
Paris;161;FR;France
Roncq;145;FR;France
Saint Ouen;166;FR;France
Verrieres Le Buisson;177;FR;France
Metz;143;FR;France
Saint Germain en Laye;164;FR;France
Lieusaint;163;FR;France
Villeneuve-d'Ascq;145;FR;France
Saint-Denis;179;FR;France
Versailles;164;FR;France
Sèvres;178;FR;France
Colombes;178;FR;France
Courbevoie;178;FR;France
Drancy;179;FR;France
Orleans;131;FR;France
Orly;180;FR;France
Paris;161;FR;France
Paris;161;FR;France
Roissy en Brie;163;FR;France
Metz;143;FR;France
Drancy;179;FR;France
Saint Germain en Laye;164;FR;France
Paris;161;FR;France
Hervey Bay;64;AU;Australia
Sooke;7;CA;Canada
Brisbane;64;AU;Australia
Gateshead;14;GB;United Kingdom
Daly City;9;US;United States
Lynnwood;79;US;United States
Sèvres;178;FR;France
Lancaster;14;GB;United Kingdom
North Ryde;50;AU;Australia
Seattle;79;US;United States
W. Linn;58;US;United States
Sèvres;178;FR;France
Versailles;164;FR;France
Paris;161;FR;France
Burien;79;US;United States
Corvallis;58;US;United States
Coronado;9;US;United States
Colma;9;US;United States
Olympia;79;US;United States
London;14;GB;United Kingdom
Newton;7;CA;Canada
Shawnee;7;CA;Canada
Bracknell;14;GB;United Kingdom
Lincoln Acres;9;US;United States
Cliffside;7;CA;Canada
Hervey Bay;64;AU;Australia
Colombes;178;FR;France
Roubaix;145;FR;France
Roubaix;145;FR;France
Versailles;164;FR;France
Colomiers;117;FR;France
High Wycombe;14;GB;United Kingdom
Palo Alto;9;US;United States
Colomiers;117;FR;France
Roncq;145;FR;France
Sedro Woolley;79;US;United States
Saint Germain en Laye;164;FR;France
Newport Beach;9;US;United States
Lake Oswego;58;US;United States
Oxford;14;GB;United Kingdom
Spring Valley;9;US;United States
Burien;79;US;United States
Renton;79;US;United States
Lake Oswego;58;US;United States
Birmingham;14;GB;United Kingdom
London;14;GB;United Kingdom
Palo Alto;9;US;United States
Renton;79;US;United States
Pantin;179;FR;France
Sèvres;178;FR;France
Saint-Denis;179;FR;France
Roubaix;145;FR;France
Dunkerque;145;FR;France
Rockhampton;64;AU;Australia
High Wycombe;14;GB;United Kingdom
Sedro Woolley;79;US;United States
Vancouver;7;CA;Canada
Colma;9;US;United States
Issaquah;79;US;United States
Cambridge;14;GB;United Kingdom
Everett;79;US;United States
Spokane;79;US;United States
Marysville;79;US;United States
W. Linn;58;US;United States
Coronado;9;US;United States
Salem;58;US;United States
Milsons Point;50;AU;Australia
Paris;161;FR;France
Lavender Bay;50;AU;Australia
Port Hammond;7;CA;Canada
Bellflower;9;US;United States
Lake Oswego;58;US;United States
Silverwater;50;AU;Australia
Hobart;71;AU;Australia
Portland;58;US;United States
Beverly Hills;9;US;United States
N. Vancouver;7;CA;Canada
Burnaby;7;CA;Canada
Sooke;7;CA;Canada
Grossmont;9;US;United States
Springwood;50;AU;Australia
San Carlos;9;US;United States
Cloverdale;66;AU;Australia
Stoke-on-Trent;14;GB;United Kingdom
Hawthorne;64;AU;Australia
Lieusaint;163;FR;France
Port Hammond;7;CA;Canada
Fremont;9;US;United States
London;14;GB;United Kingdom
Spring Valley;9;US;United States
Yakima;79;US;United States
Glendale;9;US;United States
Downey;9;US;United States
Melton;77;AU;Australia
Bellingham;79;US;United States
Oak Bay;7;CA;Canada
Lynnwood;79;US;United States
Issaquah;79;US;United States
Newport Beach;9;US;United States
Berkeley;9;US;United States
Morangis;177;FR;France
Lille;145;FR;France
Langley;7;CA;Canada
Beverly Hills;9;US;United States
Newcastle upon Tyne;14;GB;United Kingdom
Newport Beach;9;US;United States
Berks;14;GB;United Kingdom
Corvallis;58;US;United States
Lynnwood;79;US;United States
Cliffside;7;CA;Canada
Lavender Bay;50;AU;Australia
Saint-Denis;179;FR;France
Bendigo;77;AU;Australia
Oxford;14;GB;United Kingdom
Rhodes;50;AU;Australia
St. Leonards;50;AU;Australia
W. Linn;58;US;United States
Paris;161;FR;France
Beaverton;58;US;United States
Yakima;79;US;United States
Runcorn;14;GB;United Kingdom
Watford;14;GB;United Kingdom
Bremerton;79;US;United States
Colma;9;US;United States
Les Ulis;177;FR;France
Coffs Harbour;50;AU;Australia
Spokane;79;US;United States
Santa Monica;9;US;United States
Wollongong;50;AU;Australia
San Francisco;9;US;United States
Bobigny;179;FR;France
Metz;143;FR;France
Esher-Molesey;14;GB;United Kingdom
Port Orchard;79;US;United States
Hervey Bay;64;AU;Australia
Oak Bay;7;CA;Canada
Springwood;50;AU;Australia
Burbank;9;US;United States
Milton Keynes;14;GB;United Kingdom
Burnaby;7;CA;Canada
Gold Coast;64;AU;Australia
Walla Walla;79;US;United States
Colma;9;US;United States
Seaford;77;AU;Australia
Oregon City;58;US;United States
Santa Monica;9;US;United States
Lane Cove;50;AU;Australia
Coronado;9;US;United States
Langford;7;CA;Canada
Chula Vista;9;US;United States
Woodland Hills;9;US;United States
Lemon Grove;9;US;United States
Lane Cove;50;AU;Australia
Peterborough;14;GB;United Kingdom
Glendale;9;US;United States
St. Leonards;50;AU;Australia
Cliffside;7;CA;Canada
London;14;GB;United Kingdom
West Covina;9;US;United States
Hobart;71;AU;Australia
Sydney;50;AU;Australia
Downey;9;US;United States
Matraville;50;AU;Australia
Redmond;79;US;United States
Sydney;50;AU;Australia
Burien;79;US;United States
West Covina;9;US;United States
Shawnee;7;CA;Canada
Gold Coast;64;AU;Australia
Yakima;79;US;United States
Bobigny;179;FR;France
Colombes;178;FR;France
Orleans;131;FR;France
Suresnes;178;FR;France
Villeneuve-d'Ascq;145;FR;France
West Covina;9;US;United States
Colombes;178;FR;France
Berks;14;GB;United Kingdom
Grossmont;9;US;United States
Berkshire;14;GB;United Kingdom
Townsville;64;AU;Australia
Everett;79;US;United States
Novato;9;US;United States
Tacoma;79;US;United States
Paris;161;FR;France
Orleans;131;FR;France
Villeneuve-d'Ascq;145;FR;France
Concord;9;US;United States
Runcorn;14;GB;United Kingdom
Burbank;9;US;United States
Oxford;14;GB;United Kingdom
Vancouver;7;CA;Canada
Esher-Molesey;14;GB;United Kingdom
Gold Coast;64;AU;Australia
Mill Valley;9;US;United States
Mill Valley;44;US;United States
Beaverton;58;US;United States
Townsville;64;AU;Australia
North Ryde;50;AU;Australia
Santa Monica;9;US;United States
Sèvres;178;FR;France
Roubaix;145;FR;France
Sèvres;178;FR;France
Lieusaint;163;FR;France
Royal Oak;7;CA;Canada
Paris;161;FR;France
Colomiers;117;FR;France
Colombes;178;FR;France
Paris;161;FR;France
Verrieres Le Buisson;177;FR;France
Villeneuve-d'Ascq;145;FR;France
Verrieres Le Buisson;177;FR;France
Colombes;178;FR;France
Metz;143;FR;France
Cergy;181;FR;France
Morangis;177;FR;France
Paris;161;FR;France
Paris;161;FR;France
Joliet;24;US;United States
Royal Oak;7;CA;Canada
Gold Coast;64;AU;Australia
Salem;58;US;United States
East Brisbane;64;AU;Australia
Spokane;79;US;United States
Edmonds;79;US;United States
South Melbourne;77;AU;Australia
Palo Alto;9;US;United States
Woodburn;58;US;United States
W. Linn;58;US;United States
Burbank;9;US;United States
Corvallis;58;US;United States
London;14;GB;United Kingdom
Rhodes;50;AU;Australia
Salem;58;US;United States
Imperial Beach;9;US;United States
Esher-Molesey;14;GB;United Kingdom
Bobigny;179;FR;France
Cliffside;7;CA;Canada
West Covina;9;US;United States
Olympia;79;US;United States
Orleans;131;FR;France
Courbevoie;178;FR;France
Berkeley;9;US;United States
Walla Walla;79;US;United States
Concord;9;US;United States
Redwood City;9;US;United States
Silverwater;50;AU;Australia
Bobigny;179;FR;France
Saint-Denis;179;FR;France
Colombes;178;FR;France
Orleans;131;FR;France
Ballard;79;US;United States
Gloucestershire;14;GB;United Kingdom
Bendigo;77;AU;Australia
Lemon Grove;9;US;United States
Cliffside;7;CA;Canada
Glendale;9;US;United States
Lancaster;14;GB;United Kingdom
Kirkby;14;GB;United Kingdom
Glendale;9;US;United States
Seattle;79;US;United States
Berkeley;9;US;United States
East Brisbane;64;AU;Australia
Novato;9;US;United States
Caloundra;64;AU;Australia
Bury;14;GB;United Kingdom
Warrnambool;77;AU;Australia
Coffs Harbour;50;AU;Australia
London;14;GB;United Kingdom
Bothell;79;US;United States
Coronado;9;US;United States
Silverwater;50;AU;Australia
Caloundra;64;AU;Australia
London;14;GB;United Kingdom
Kirkland;79;US;United States
Wokingham;14;GB;United Kingdom
Lynnwood;79;US;United States
Bremerton;79;US;United States
Tacoma;79;US;United States
Oxnard;9;US;United States
New York;54;US;United States
Peoria;24;US;United States
Lille;145;FR;France
Paris;161;FR;France
El Cajon;9;US;United States
Coronado;9;US;United States
Issaquah;79;US;United States
York;14;GB;United Kingdom
San Diego;9;US;United States
San Francisco;9;US;United States
Paris La Defense;178;FR;France
Colombes;178;FR;France
Saint-Denis;179;FR;France
Suresnes;178;FR;France
Villeneuve-d'Ascq;145;FR;France
Irving;73;US;United States
Olympia;79;US;United States
Burlingame;9;US;United States
La Jolla;9;US;United States
Newton;7;CA;Canada
Townsville;64;AU;Australia
Sunbury;77;AU;Australia
Yakima;79;US;United States
Berkshire;14;GB;United Kingdom
Cheltenham;14;GB;United Kingdom
Matraville;50;AU;Australia
Index;79;US;United States
Walla Walla;79;US;United States
Hawthorne;64;AU;Australia
Springwood;50;AU;Australia
London;14;GB;United Kingdom
La Jolla;9;US;United States
Sunbury;77;AU;Australia
Spring Valley;9;US;United States
Beaverton;58;US;United States
St. Leonards;50;AU;Australia
Geelong;77;AU;Australia
Stoke-on-Trent;14;GB;United Kingdom
Ballard;79;US;United States
El Cajon;9;US;United States
Melbourne;77;AU;Australia
San Diego;9;US;United States
Marysville;79;US;United States
Burbank;9;US;United States
Warrington;14;GB;United Kingdom
Imperial Beach;9;US;United States
Mill Valley;9;US;United States
Grossmont;9;US;United States
Byron;17;US;United States
Langford;7;CA;Canada
Everett;79;US;United States
Geelong;77;AU;Australia
Port Hammond;7;CA;Canada
Tacoma;79;US;United States
Wollongong;50;AU;Australia
Seaford;77;AU;Australia
Newcastle;50;AU;Australia
Spring Valley;9;US;United States
Orly;180;FR;France
Townsville;64;AU;Australia
Victoria;7;CA;Canada
Walla Walla;79;US;United States
N. Vancouver;7;CA;Canada
Everett;79;US;United States
Mill Valley;9;US;United States
Berks;14;GB;United Kingdom
San Gabriel;9;US;United States
West Covina;9;US;United States
Sunbury;77;AU;Australia
Cliffside;7;CA;Canada
Spokane;79;US;United States
Santa Monica;9;US;United States
Spokane;79;US;United States
Burien;79;US;United States
Newcastle;50;AU;Australia
Tacoma;79;US;United States
Colomiers;117;FR;France
N. Vancouver;7;CA;Canada
San Gabriel;9;US;United States
Spokane;79;US;United States
Calgary;1;CA;Canada
Olympia;79;US;United States
Issaquah;79;US;United States
Beaverton;58;US;United States
National City;9;US;United States
Redmond;79;US;United States
Bremerton;79;US;United States
Redmond;79;US;United States
Matraville;50;AU;Australia
Sunbury;77;AU;Australia
Bendigo;77;AU;Australia
Glendale;9;US;United States
London;14;GB;United Kingdom
West Covina;9;US;United States
Cliffside;7;CA;Canada
Findon;66;AU;Australia
San Gabriel;9;US;United States
Tacoma;79;US;United States
San Carlos;9;US;United States
Drancy;179;FR;France
Bremerton;79;US;United States
Daly City;9;US;United States
Long Beach;9;US;United States
Wollongong;50;AU;Australia
Cranbourne;77;AU;Australia
Royal Oak;7;CA;Canada
Renton;79;US;United States
Snohomish;79;US;United States
Bendigo;77;AU;Australia
Lake Oswego;58;US;United States
Cliffside;7;CA;Canada
Concord;9;US;United States
East Brisbane;64;AU;Australia
National City;9;US;United States
Coffs Harbour;50;AU;Australia
Everett;79;US;United States
Beaverton;58;US;United States
Haney;7;CA;Canada
Perth;66;AU;Australia
Beverly Hills;9;US;United States
Sunbury;77;AU;Australia
Wollongong;50;AU;Australia
Yakima;79;US;United States
Melton;77;AU;Australia
San Diego;9;US;United States
East Brisbane;64;AU;Australia
Peterborough;14;GB;United Kingdom
Watford;14;GB;United Kingdom
Concord;9;US;United States
Olympia;79;US;United States
La Jolla;9;US;United States
London;14;GB;United Kingdom
Lake Oswego;58;US;United States
Milton Keynes;14;GB;United Kingdom
Findon;66;AU;Australia
College Station;73;US;United States
Fremont;9;US;United States
Newcastle upon Tyne;14;GB;United Kingdom
Oakland;9;US;United States
Melton;77;AU;Australia
Novato;9;US;United States
Goulburn;50;AU;Australia
St. Leonards;50;AU;Australia
Kirkland;79;US;United States
Grossmont;9;US;United States
London;14;GB;United Kingdom
Metz;143;FR;France
Paris La Defense;178;FR;France
Roubaix;145;FR;France
Tremblay-en-France;179;FR;France
Cheltenham;14;GB;United Kingdom
W. Linn;58;US;United States
Newcastle;50;AU;Australia
San Diego;9;US;United States
Bellingham;79;US;United States
Mill Valley;9;US;United States
Darlinghurst;50;AU;Australia
San Francisco;9;US;United States
Oak Bay;7;CA;Canada
Berkeley;9;US;United States
Hobart;71;AU;Australia
Beaverton;58;US;United States
Port Macquarie;50;AU;Australia
Burbank;9;US;United States
Royal Oak;7;CA;Canada
Milwaukie;58;US;United States
North Sydney;50;AU;Australia
Malabar;50;AU;Australia
Metchosin;7;CA;Canada
Lemon Grove;9;US;United States
Perth;66;AU;Australia
North Sydney;50;AU;Australia
Caloundra;64;AU;Australia
Lynnwood;79;US;United States
Bremerton;79;US;United States
Chula Vista;9;US;United States
Milwaukie;58;US;United States
Metz;143;FR;France
Townsville;64;AU;Australia
Warrington;14;GB;United Kingdom
Esher-Molesey;14;GB;United Kingdom
Findon;66;AU;Australia
Vancouver;7;CA;Canada
London;14;GB;United Kingdom
Geelong;77;AU;Australia
Lancaster;14;GB;United Kingdom
Colma;9;US;United States
South Melbourne;77;AU;Australia
Darlinghurst;50;AU;Australia
Beverly Hills;9;US;United States
Daly City;9;US;United States
Victoria;7;CA;Canada
Brisbane;64;AU;Australia
Shawnee;7;CA;Canada
Bothell;79;US;United States
Bremerton;79;US;United States
Los Angeles;9;US;United States
Lebanon;58;US;United States
Sydney;50;AU;Australia
Brisbane;64;AU;Australia
Esher-Molesey;14;GB;United Kingdom
Shawnee;7;CA;Canada
Warrnambool;77;AU;Australia
San Diego;9;US;United States
Drancy;179;FR;France
W. Linn;58;US;United States
Palo Alto;9;US;United States
Lynnwood;79;US;United States
Cloverdale;66;AU;Australia
Mill Valley;9;US;United States
Everett;79;US;United States
St. Leonards;50;AU;Australia
Victoria;7;CA;Canada
Rockhampton;64;AU;Australia
Royal Oak;7;CA;Canada
San Carlos;9;US;United States
Grossmont;9;US;United States
Chula Vista;9;US;United States
Portland;58;US;United States
Berkeley;9;US;United States
London;14;GB;United Kingdom
Bury;14;GB;United Kingdom
Findon;66;AU;Australia
Port Hammond;7;CA;Canada
Cranbourne;77;AU;Australia
Beverly Hills;9;US;United States
Woodland Hills;9;US;United States
Chula Vista;9;US;United States
Lemon Grove;9;US;United States
Berkeley;9;US;United States
Burlingame;9;US;United States
Bellevue;79;US;United States
Gold Coast;64;AU;Australia
Marysville;79;US;United States
North Sydney;50;AU;Australia
Long Beach;9;US;United States
Malabar;50;AU;Australia
Yakima;79;US;United States
Lakewood;9;US;United States
Port Macquarie;50;AU;Australia
Bellingham;79;US;United States
Torrance;9;US;United States
Cliffside;7;CA;Canada
Spokane;79;US;United States
Bellflower;9;US;United States
Los Angeles;9;US;United States
Cliffside;7;CA;Canada
Coronado;9;US;United States
Bellingham;79;US;United States
San Carlos;9;US;United States
Seattle;79;US;United States
Imperial Beach;9;US;United States
Townsville;64;AU;Australia
Les Ulis;177;FR;France
Redwood City;9;US;United States
Seaford;77;AU;Australia
Sydney;50;AU;Australia
Tacoma;79;US;United States
Malabar;50;AU;Australia
Tacoma;79;US;United States
Beaverton;58;US;United States
Melbourne;77;AU;Australia
Sunbury;77;AU;Australia
Monroe;79;US;United States
Oxford;14;GB;United Kingdom
Billericay;14;GB;United Kingdom
Redmond;79;US;United States
Langford;7;CA;Canada
Sydney;50;AU;Australia
Paris;161;FR;France
Saint Ouen;166;FR;France
London;14;GB;United Kingdom
Seattle;79;US;United States
Sedro Woolley;79;US;United States
Brisbane;64;AU;Australia
Victoria;7;CA;Canada
Bellingham;79;US;United States
Bremerton;79;US;United States
Everett;79;US;United States
Royal Oak;7;CA;Canada
Hobart;71;AU;Australia
Royal Oak;7;CA;Canada
Woodland Hills;9;US;United States
Renton;79;US;United States
South Melbourne;77;AU;Australia
Burbank;9;US;United States
Bellingham;79;US;United States
Issaquah;79;US;United States
Phoenix;6;US;United States
El Cajon;9;US;United States
Seattle;79;US;United States
Goulburn;50;AU;Australia
Imperial Beach;9;US;United States
Perth;66;AU;Australia
Torrance;9;US;United States
Beverly Hills;9;US;United States
Palo Alto;9;US;United States
London;14;GB;United Kingdom
Fremont;9;US;United States
Townsville;64;AU;Australia
London;14;GB;United Kingdom
Hawthorne;64;AU;Australia
Haney;7;CA;Canada
Renton;79;US;United States
Salem;58;US;United States
Cheltenham;14;GB;United Kingdom
Metchosin;7;CA;Canada
Berkeley;9;US;United States
Westminster;7;CA;Canada
Caloundra;64;AU;Australia
Vancouver;7;CA;Canada
Seattle;79;US;United States
Malabar;50;AU;Australia
Torrance;9;US;United States
Beverly Hills;9;US;United States
Melton;77;AU;Australia
Port Orchard;79;US;United States
Berkshire;14;GB;United Kingdom
Long Beach;9;US;United States
Melton;77;AU;Australia
Everett;79;US;United States
La Jolla;9;US;United States
London;14;GB;United Kingdom
San Carlos;9;US;United States
Findon;66;AU;Australia
Fremont;9;US;United States
Oakland;9;US;United States
Newport Hills;79;US;United States
Victoria;7;CA;Canada
Los Angeles;9;US;United States
Coronado;9;US;United States
Warrington;14;GB;United Kingdom
Burlingame;9;US;United States
Seattle;79;US;United States
Bothell;79;US;United States
Port Orchard;79;US;United States
Burien;79;US;United States
Les Ulis;177;FR;France
Colombes;178;FR;France
Pantin;179;FR;France
Paris;161;FR;France
Morangis;177;FR;France
Pantin;179;FR;France
Paris;161;FR;France
Paris;161;FR;France
Roissy en Brie;163;FR;France
Chatou;164;FR;France
Croix;145;FR;France
Paris;161;FR;France
Paris;161;FR;France
Drancy;179;FR;France
Pantin;179;FR;France
Newport Hills;79;US;United States
Beaverton;58;US;United States
San Diego;9;US;United States
Metz;143;FR;France
Villeneuve-d'Ascq;145;FR;France
Lancaster;14;GB;United Kingdom
Redwood City;9;US;United States
Courbevoie;178;FR;France
Lebanon;58;US;United States
Wollongong;50;AU;Australia
Coffs Harbour;50;AU;Australia
Cliffside;7;CA;Canada
Tremblay-en-France;179;FR;France
Bobigny;179;FR;France
Burien;79;US;United States
Portland;58;US;United States
